StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1060,15,Female,Asian,Some College,10,2,No,Very High,Yes,No,No,No,3.3825428624246827,B
1061,17,Female,Asian,Bachelor’s,12,20,Yes,Low,Yes,No,Yes,No,2.893132737953999,C
1062,17,Female,African American,High School,5,7,No,Moderate,Yes,No,No,No,2.3395817895406106,D
1064,15,Male,Asian,Higher,16,7,No,Moderate,Yes,No,Yes,No,3.774089009226127,A
1065,17,Male,African American,Some College,4,13,Yes,Low,Yes,No,No,No,3.5499090832419946,A
1067,18,Male,Other,Bachelor’s,0,8,Yes,Moderate,Yes,No,No,No,3.205417598386329,B
1068,15,Male,Caucasian,No Education,4,21,No,High,Yes,Yes,Yes,No,3.82453351681862,A
1069,18,Female,Asian,Some College,4,8,No,Low,Yes,No,No,No,2.4062945233298074,D
1070,16,Female,Caucasian,High School,6,29,No,Very High,Yes,No,No,Yes,2.5692912574330617,C
1073,15,Male,Caucasian,High School,5,13,No,Moderate,Yes,No,No,Yes,3.203942986185638,B
1074,16,Male,Asian,High School,1,13,Yes,Low,No,Yes,No,No,2.7807716555404403,C
1075,15,Male,Caucasian,Some College,12,20,No,No Support,Yes,No,No,No,2.0873324674858456,D
1076,16,Female,Caucasian,High School,9,15,No,Very High,No,No,Yes,No,2.560680606447273,C
1077,18,Female,African American,No Education,20,4,No,Low,No,No,No,Yes,3.1590293174582125,B
1078,18,Female,Asian,Some College,19,19,No,High,Yes,No,No,No,3.108916563589728,B
1079,17,Male,Other,Some College,10,28,No,High,No,Yes,No,No,2.148552027174492,D
1080,18,Female,Asian,High School,20,22,No,Moderate,No,Yes,Yes,Yes,2.7532076353842347,C
1081,17,Male,African American,Bachelor’s,1,23,Yes,Low,Yes,Yes,No,No,2.8837811907617765,C
1082,18,Female,Caucasian,Higher,7,14,Yes,Low,No,No,No,No,2.3666943649472367,D
1083,15,Female,Caucasian,Bachelor’s,18,20,No,High,No,Yes,No,No,3.530065633206136,A
1084,18,Male,Caucasian,Bachelor’s,19,30,No,Moderate,No,Yes,No,Yes,2.376258391771262,D
1085,17,Female,African American,High School,16,8,No,Very High,Yes,No,No,No,3.548814101187857,A
1087,16,Male,Caucasian,High School,9,12,No,Very High,Yes,No,Yes,No,2.6020136477354976,C
1088,15,Female,Asian,Bachelor’s,4,28,No,No Support,No,No,No,No,3.1139235461781354,B
1089,18,Male,African American,Higher,13,22,Yes,High,No,No,No,No,3.90921851534592,A
1091,18,Female,Caucasian,Higher,3,11,No,Moderate,Yes,No,No,No,3.6437431584450937,A
1093,16,Female,Asian,Some College,15,15,No,High,No,Yes,No,No,2.8154477595826446,C
1094,16,Female,Asian,Some College,14,25,No,Moderate,No,No,No,No,3.8210923315933782,A
1095,16,Male,Caucasian,No Education,8,28,No,High,Yes,No,No,No,2.8642420091186507,C
1096,16,Female,Other,No Education,2,28,Yes,Moderate,Yes,Yes,No,Yes,2.3131581556105933,D
1097,16,Male,Caucasian,Bachelor’s,8,5,Yes,Very High,No,No,Yes,No,3.057716077469233,B
1098,18,Female,Caucasian,Some College,17,4,No,No Support,No,No,No,Yes,2.7313393366014305,C
1099,16,Male,Other,Some College,3,0,No,No Support,Yes,Yes,No,No,3.4852582052145884,B
1100,15,Male,Caucasian,Some College,18,30,Yes,High,Yes,No,No,Yes,3.902044230029368,A
1101,17,Female,African American,High School,3,13,Yes,High,No,Yes,No,No,2.936177489058088,C
1102,16,Male,Caucasian,Some College,8,28,No,High,No,No,No,No,2.1884887407079594,D
1103,16,Female,African American,Some College,0,8,No,High,Yes,Yes,No,No,2.39913166760096,D
1104,18,Male,Other,Some College,0,17,Yes,Very High,No,No,No,No,2.326475561081338,D
1105,16,Male,Caucasian,Bachelor’s,19,5,No,High,No,No,Yes,No,3.212416612976717,B
1106,16,Female,African American,Some College,18,14,No,High,Yes,No,Yes,No,3.549295859081869,A
1107,16,Male,Caucasian,Bachelor’s,2,30,No,High,Yes,No,No,No,2.7823227849219148,C
1108,18,Male,African American,Higher,9,15,Yes,Very High,Yes,No,No,No,3.4442144330099262,B
1109,16,Female,Caucasian,Higher,11,7,No,Moderate,Yes,No,Yes,No,2.8409622271103627,C
1111,18,Female,Caucasian,High School,13,4,Yes,High,No,No,No,Yes,3.5041124401357333,A
1112,17,Male,Caucasian,No Education,9,13,Yes,Low,No,No,Yes,No,3.465359785308264,B
1113,18,Male,Other,High School,9,6,Yes,Moderate,No,No,No,Yes,3.0613676719238194,B
1114,16,Female,Caucasian,High School,17,3,No,No Support,Yes,No,Yes,Yes,3.999980838852461,A
1116,18,Male,Caucasian,Bachelor’s,14,27,No,Very High,No,No,No,No,3.6009997344335583,A
1117,15,Male,Caucasian,No Education,7,20,No,Low,No,No,No,Yes,2.996328190227957,C
1118,16,Male,Asian,High School,2,0,Yes,High,Yes,Yes,No,No,3.588585900918376,A
1119,18,Female,Other,High School,17,3,Yes,Moderate,No,Yes,No,Yes,3.494176865561341,B
1120,15,Male,Caucasian,Bachelor’s,8,29,No,High,Yes,No,No,No,2.9383173457664187,C
1122,15,Female,African American,Higher,20,22,No,Moderate,No,No,No,No,2.7905301449746247,C
1125,15,Male,African American,High School,12,25,No,Moderate,No,Yes,No,No,2.726308362973242,C
1127,16,Male,Asian,Some College,6,9,Yes,Low,No,No,No,No,3.350462135466127,B
1132,15,Female,African American,No Education,16,12,No,High,No,Yes,Yes,Yes,3.729660233335149,A
1133,15,Male,Caucasian,No Education,8,20,No,High,No,No,No,No,2.7820833463148595,C
1134,15,Male,Other,Some College,11,0,Yes,No Support,Yes,Yes,Yes,No,3.2591846177550496,B
1136,15,Female,Caucasian,High School,8,27,Yes,Moderate,No,No,No,No,2.7971581265673984,C
1137,15,Female,Caucasian,Bachelor’s,4,22,No,Very High,Yes,Yes,No,No,3.9790493848655726,A
1138,15,Female,African American,Bachelor’s,6,30,Yes,Low,No,Yes,Yes,No,2.6711504520112785,C
1139,17,Female,Caucasian,Some College,0,15,No,Very High,No,No,Yes,Yes,2.6079685310056573,C
1140,15,Female,Caucasian,Bachelor’s,3,4,No,High,Yes,Yes,No,No,3.651916090152562,A
1142,15,Male,Caucasian,Bachelor’s,15,25,No,Very High,No,No,No,Yes,2.621573044569151,C
1143,18,Female,Caucasian,Bachelor’s,4,25,Yes,No Support,No,No,No,No,2.877325949460713,C
1144,18,Female,Caucasian,Higher,3,6,Yes,High,Yes,Yes,Yes,Yes,2.666681352385164,C
1145,18,Male,Caucasian,High School,5,30,No,Very High,Yes,Yes,Yes,No,3.310822182929789,B
1147,17,Female,African American,High School,7,2,No,Moderate,No,No,No,No,3.677779178394216,A
1148,17,Female,Caucasian,High School,16,23,Yes,High,No,No,No,No,3.866964121452132,A
1151,17,Male,Caucasian,Some College,11,1,No,High,Yes,Yes,No,No,3.494472454339764,B
1152,17,Male,Caucasian,High School,0,19,No,Moderate,Yes,Yes,No,No,3.118328910826036,B
1153,15,Male,Caucasian,High School,11,22,No,Very High,Yes,No,No,No,2.5014592664277324,C
1154,17,Male,Asian,Some College,10,29,No,Very High,No,Yes,No,Yes,3.6895893786895537,A
1156,16,Male,Asian,High School,2,19,No,No Support,Yes,No,No,Yes,3.07731547994043,B
1157,17,Female,Asian,Bachelor’s,7,8,No,Moderate,No,Yes,No,No,2.872658890553252,C
1158,16,Female,African American,No Education,2,17,No,Very High,No,No,No,Yes,2.114687080451428,D
1159,15,Male,Caucasian,Some College,16,5,No,Low,Yes,Yes,Yes,No,3.643211303666336,A
1160,18,Female,African American,Bachelor’s,12,19,No,Very High,No,No,No,No,2.9712712329623465,C
1161,17,Male,Caucasian,High School,9,5,Yes,Very High,No,No,No,Yes,3.860382669226075,A
1162,15,Female,African American,Bachelor’s,16,25,No,No Support,Yes,No,No,Yes,2.887722634573814,C
1165,16,Female,Caucasian,Some College,5,27,No,Moderate,No,No,No,Yes,3.3693336810357626,B
1166,15,Male,Caucasian,High School,13,24,No,Moderate,Yes,No,Yes,No,3.8062904752891447,A
1167,18,Male,African American,Bachelor’s,9,8,No,High,No,No,Yes,No,2.930714043791225,C
1168,17,Female,African American,Bachelor’s,19,8,No,High,Yes,No,No,Yes,3.9169849790030966,A
1169,17,Female,Asian,High School,15,2,No,Very High,No,Yes,No,Yes,3.432931992802588,B
1172,15,Male,African American,No Education,9,13,No,Very High,No,Yes,No,No,3.623071858600445,A
1173,17,Female,Asian,Some College,5,24,No,Moderate,No,No,No,No,2.822219595149691,C
1174,18,Male,African American,No Education,9,18,No,Moderate,Yes,No,No,No,3.589957726117877,A
1175,18,Female,African American,High School,4,9,Yes,High,No,No,Yes,No,2.5571151943924955,C
1176,16,Male,African American,Bachelor’s,5,18,Yes,Very High,Yes,Yes,No,Yes,2.7553140096086324,C
1177,17,Male,Asian,High School,6,4,No,Moderate,No,Yes,No,Yes,3.007357521954336,B
1178,17,Male,Other,Bachelor’s,10,21,No,Moderate,Yes,No,No,No,3.185011468371405,B
1181,15,Male,Other,Bachelor’s,11,14,Yes,Moderate,No,No,No,Yes,2.9240902029807665,C
1182,17,Female,African American,Bachelor’s,19,23,No,High,No,No,No,No,3.025969308014039,B
1183,16,Male,African American,Some College,4,29,No,No Support,Yes,Yes,Yes,No,2.2512962306687205,D
1185,15,Male,Caucasian,Some College,5,3,No,No Support,Yes,Yes,No,No,2.5149076118455342,C
1187,16,Male,Asian,Bachelor’s,4,6,Yes,Very High,No,No,No,No,2.9008381998946464,C
1192,17,Female,Asian,Bachelor’s,11,19,No,High,No,Yes,Yes,No,2.7162723525338315,C
1193,15,Male,Caucasian,Some College,1,21,No,Moderate,Yes,Yes,No,No,3.2274034235870905,B
1194,17,Male,African American,Bachelor’s,9,2,No,Low,No,Yes,No,No,3.854143221296231,A
1196,16,Female,African American,Bachelor’s,13,28,No,Low,Yes,Yes,No,No,2.940626264951033,C
1197,16,Female,Caucasian,High School,17,28,No,Moderate,Yes,Yes,No,Yes,3.0869069097278428,B
1198,18,Male,African American,Bachelor’s,18,29,Yes,High,Yes,No,Yes,No,3.9324452801136696,A
1199,15,Female,Caucasian,Higher,5,30,No,High,No,Yes,Yes,No,2.1896873061327087,D
1200,17,Female,Caucasian,High School,4,12,No,High,Yes,No,No,Yes,3.830109830436416,A
1201,17,Female,Other,Some College,15,1,Yes,Moderate,Yes,No,Yes,Yes,3.641959093691991,A
1202,18,Female,Asian,High School,13,2,No,Moderate,No,No,No,No,2.876426843805192,C
1203,17,Male,African American,Bachelor’s,12,12,No,Low,Yes,No,No,Yes,3.4929571309133736,B
1205,18,Female,Caucasian,High School,1,21,Yes,High,No,No,Yes,No,3.200938539330071,B
1206,15,Female,Caucasian,Higher,1,18,No,High,Yes,No,No,No,3.838584463425138,A
1207,18,Male,African American,High School,11,17,No,Moderate,Yes,No,Yes,No,2.571457541154748,C
1208,18,Male,Asian,Bachelor’s,0,4,No,High,No,No,No,Yes,2.8691327460562057,C
1209,16,Male,African American,Some College,18,9,Yes,Low,Yes,Yes,No,No,3.6398860133319433,A
1210,15,Male,Asian,High School,15,13,No,Very High,No,No,No,No,2.876299131773983,C
1211,17,Female,Caucasian,High School,6,20,Yes,Very High,No,No,Yes,No,2.286009308370512,D
1212,17,Female,Caucasian,High School,20,16,No,Moderate,Yes,Yes,No,No,2.8288901819902046,C
1213,15,Male,Caucasian,Bachelor’s,6,2,No,Moderate,Yes,No,Yes,No,3.3077587780313773,B
1215,17,Male,Caucasian,High School,5,8,No,Moderate,Yes,No,No,No,3.6792870615668,A
1217,18,Female,Caucasian,No Education,0,3,No,High,Yes,No,Yes,Yes,2.788033962196117,C
1218,15,Female,Other,Bachelor’s,0,2,No,High,Yes,No,No,No,2.3211400755298204,D
1219,18,Female,Caucasian,Bachelor’s,13,25,No,Moderate,Yes,No,No,Yes,2.500759609975561,C
1220,17,Male,Other,No Education,5,12,Yes,No Support,Yes,No,No,No,2.814378087061945,C
1221,17,Female,African American,Some College,5,8,Yes,Low,Yes,Yes,No,Yes,3.000914662814884,B
1224,18,Male,Asian,Higher,17,27,No,Very High,Yes,Yes,Yes,No,3.384760463737696,B
1225,16,Male,Other,Bachelor’s,9,6,No,Moderate,No,No,No,Yes,3.0056640150719534,B
1226,16,Male,Caucasian,Higher,2,29,No,Very High,Yes,Yes,Yes,No,2.494130383952782,D
1227,15,Male,Caucasian,Bachelor’s,2,28,No,Very High,Yes,Yes,No,No,2.268826565671185,D
1228,16,Male,Caucasian,Bachelor’s,7,7,No,Very High,No,No,No,Yes,3.2441859592424125,B
1229,15,Male,Other,Some College,0,9,Yes,Low,Yes,Yes,No,Yes,2.231750835294052,D
1230,15,Female,African American,High School,17,0,Yes,Moderate,No,Yes,No,No,3.151694034722841,B
1231,16,Female,African American,High School,14,26,No,Moderate,Yes,Yes,Yes,No,3.1532487689907542,B
1232,18,Male,Caucasian,High School,20,19,No,Very High,No,Yes,No,No,3.8082842541206503,A
1233,18,Male,Caucasian,Bachelor’s,19,28,No,Very High,No,Yes,No,No,2.823923474937959,C
1234,18,Female,Asian,High School,16,28,Yes,Low,No,Yes,No,Yes,3.8253592713038014,A
1235,18,Female,Caucasian,High School,10,20,No,Moderate,Yes,Yes,No,No,2.5336111932664203,C
1236,18,Female,African American,Some College,12,20,No,Moderate,No,Yes,No,No,3.740379127738223,A
1237,16,Female,Other,High School,19,0,Yes,Moderate,Yes,Yes,No,No,3.680541053537975,A
1238,16,Female,Caucasian,Some College,9,18,No,Very High,No,No,No,No,2.8725266843978337,C
1239,17,Female,African American,Higher,12,1,No,Very High,Yes,Yes,No,No,3.559773522332038,A
1240,18,Male,Caucasian,Bachelor’s,16,11,No,High,Yes,Yes,Yes,No,3.279177257612491,B
1242,17,Male,Caucasian,Some College,0,12,No,Moderate,No,No,No,No,2.3669227273411786,D
1243,18,Male,Asian,Some College,19,13,No,Moderate,No,No,No,No,3.7299293792027215,A
1245,17,Female,Caucasian,Higher,15,2,No,Very High,Yes,Yes,No,No,3.778267127070612,A
1246,16,Female,African American,High School,20,26,No,No Support,No,No,Yes,Yes,2.243401473856369,D
1247,15,Female,Caucasian,No Education,2,23,No,Moderate,No,Yes,No,No,3.133381168948444,B
1248,15,Male,Asian,Bachelor’s,1,16,No,No Support,Yes,No,Yes,No,2.1880647584283284,D
1250,17,Female,African American,Some College,10,13,No,Low,No,Yes,No,No,3.192306923658066,B
1251,16,Male,Caucasian,No Education,2,5,No,High,Yes,No,Yes,No,3.548817577380224,A
1252,15,Female,African American,High School,0,16,No,Moderate,Yes,No,Yes,Yes,3.671919861487672,A
1255,15,Female,Caucasian,Bachelor’s,4,0,Yes,Moderate,Yes,Yes,No,Yes,3.6114615506776144,A
1256,17,Male,Asian,Bachelor’s,17,28,No,Moderate,No,No,Yes,No,2.548579586703676,C
1258,16,Female,Asian,Higher,17,30,No,High,Yes,Yes,No,No,2.4878941174131715,D
1262,16,Male,Caucasian,Bachelor’s,19,28,No,No Support,No,No,No,No,2.8643938401375024,C
1263,15,Female,Caucasian,Some College,6,21,No,Very High,No,No,Yes,No,2.239923747258626,D
1266,16,Female,African American,Some College,12,30,Yes,High,No,Yes,No,No,3.81681528067398,A
1267,18,Female,Caucasian,Bachelor’s,15,28,No,High,Yes,Yes,Yes,No,3.942776437091105,A
1268,18,Male,Caucasian,Higher,9,16,Yes,Low,Yes,Yes,No,No,3.4846131424114186,B
1269,17,Female,Caucasian,High School,13,20,No,No Support,Yes,No,Yes,No,2.332535370661395,D
1271,16,Male,African American,Bachelor’s,19,25,No,Moderate,Yes,No,No,Yes,2.8940768463791464,C
1272,18,Male,Asian,Bachelor’s,6,25,No,Low,Yes,No,No,No,2.228991968541085,D
1273,18,Female,Caucasian,High School,5,28,No,Very High,No,No,No,Yes,3.3217159305618624,B
1275,15,Female,Caucasian,Some College,20,19,Yes,Moderate,Yes,Yes,Yes,No,2.92512530288018,C
1276,18,Male,Caucasian,Some College,7,14,Yes,High,No,No,No,No,2.833917996562336,C
1277,15,Male,Caucasian,High School,11,28,Yes,Very High,Yes,No,No,Yes,3.895371443733604,A
1278,16,Male,Asian,Higher,3,13,No,Moderate,Yes,Yes,No,No,3.909166088899044,A
1279,15,Male,Asian,Bachelor’s,9,12,Yes,High,No,No,No,No,3.022622200455758,B
1280,16,Male,African American,Some College,5,8,No,High,Yes,No,No,Yes,3.881300275955242,A
1281,18,Male,Caucasian,Bachelor’s,6,22,Yes,Very High,Yes,Yes,Yes,Yes,3.201271044158505,B
1282,18,Female,Caucasian,Higher,20,14,No,Low,No,No,No,No,3.4401224588653183,B
1284,17,Female,Caucasian,High School,2,30,Yes,Moderate,Yes,No,No,No,2.64640691396199,C
1285,16,Female,Other,Some College,7,3,No,Moderate,Yes,No,Yes,No,3.893521224030063,A
1286,17,Male,Caucasian,Bachelor’s,14,28,Yes,Moderate,No,Yes,No,No,3.34489079428688,B
1288,15,Male,Other,Higher,0,21,No,High,No,No,Yes,No,2.704564983160924,C
1290,18,Female,African American,Some College,17,29,No,Moderate,No,No,No,No,3.88433932413456,A
1291,15,Female,African American,High School,14,15,Yes,Low,Yes,No,Yes,No,3.105316659873272,B
1292,17,Female,Caucasian,High School,6,18,No,Moderate,No,No,No,No,3.4327562137316088,B
1293,15,Female,Caucasian,Bachelor’s,14,30,No,Moderate,No,No,No,No,2.537150707589212,C
1295,16,Male,Asian,Some College,13,26,No,Moderate,Yes,No,Yes,No,3.926473216973673,A
1296,18,Female,Caucasian,Higher,19,6,Yes,No Support,No,No,Yes,Yes,3.691323130423198,A
1297,16,Male,Other,Bachelor’s,3,10,No,Moderate,Yes,Yes,No,No,3.4663714456095653,B
1298,17,Female,Caucasian,Some College,3,11,No,Very High,No,Yes,No,No,3.73577366261452,A
1299,15,Female,Caucasian,Bachelor’s,2,3,Yes,Low,Yes,No,Yes,No,3.8540203760703258,A
1301,15,Female,Caucasian,Some College,10,15,Yes,Moderate,No,No,No,No,3.661346763630264,A
1302,15,Female,Caucasian,No Education,7,27,Yes,Moderate,No,No,No,Yes,3.3604880755504607,B
1304,16,Female,Caucasian,No Education,15,15,No,Very High,Yes,No,No,Yes,3.0326089305972777,B
1305,16,Female,Caucasian,Bachelor’s,9,6,No,High,No,No,Yes,Yes,3.297801265692337,B
1306,15,Female,Caucasian,Bachelor’s,17,24,Yes,High,Yes,No,Yes,Yes,3.1833398450454427,B
1307,18,Female,Asian,High School,6,29,No,Moderate,No,No,No,No,3.224468907222132,B
1308,16,Male,Asian,High School,4,12,Yes,Moderate,Yes,Yes,Yes,No,3.475397575277194,B
1309,18,Male,Caucasian,Some College,6,4,No,Moderate,Yes,No,Yes,No,3.425947126259148,B
1310,16,Female,Caucasian,Some College,20,29,Yes,Very High,No,No,No,No,2.842811040793761,C
1311,18,Male,Caucasian,High School,5,0,Yes,Very High,Yes,No,No,No,3.025134452791708,B
1312,17,Female,Caucasian,Some College,0,4,Yes,Moderate,Yes,No,No,No,3.26403086023463,B
1313,18,Female,Caucasian,High School,10,21,No,Low,No,Yes,No,Yes,3.7357535689600634,A
1314,17,Male,Caucasian,No Education,12,13,No,Low,Yes,Yes,No,No,3.9101463747993552,A
1316,18,Female,African American,High School,0,1,No,Very High,Yes,No,Yes,No,3.550293955668268,A
1317,17,Female,Caucasian,Bachelor’s,20,23,No,Moderate,No,Yes,Yes,Yes,2.9527533566420554,C
1318,15,Male,Other,Higher,14,28,Yes,Moderate,Yes,No,No,No,2.27361470023036,D
1319,17,Male,Other,Some College,0,17,Yes,Very High,No,Yes,No,Yes,3.870548352649036,A
1320,16,Male,African American,Some College,2,14,No,Low,Yes,No,No,Yes,2.7804554882385606,C
1322,15,Male,Caucasian,Some College,8,24,No,Low,No,No,Yes,No,3.245962164080091,B
1323,18,Female,Caucasian,High School,13,29,No,Moderate,No,No,No,No,3.644334006033601,A
1324,16,Male,Asian,Bachelor’s,7,12,Yes,No Support,Yes,No,Yes,Yes,2.561306806676376,C
1325,16,Male,Caucasian,Higher,3,1,Yes,Moderate,No,Yes,No,No,3.778885203102007,A
1328,17,Male,Caucasian,No Education,5,26,Yes,Moderate,Yes,No,No,No,3.490460273344557,B
1329,18,Male,African American,Some College,0,21,No,Very High,Yes,Yes,No,No,3.796414013198859,A
1330,18,Male,Caucasian,High School,17,16,No,Low,No,No,No,No,2.4910756928422706,D
1331,15,Female,Caucasian,Some College,5,14,Yes,Very High,Yes,No,No,No,3.2899903708588134,B
1332,15,Female,Caucasian,High School,13,19,Yes,Moderate,No,No,No,No,3.887796053357808,A
1333,18,Male,Caucasian,Some College,10,20,No,Moderate,No,No,No,Yes,3.5513109514527392,A
1334,17,Male,Asian,Some College,16,13,No,Low,No,Yes,No,No,3.4456934467400995,B
1335,16,Male,Caucasian,High School,8,26,No,Low,Yes,Yes,No,Yes,3.454310376815435,B
1337,15,Female,African American,Higher,13,16,No,Low,Yes,No,No,No,3.416717012884396,B
1338,17,Male,African American,Some College,16,2,No,Moderate,Yes,Yes,No,No,3.5357736315502684,A
1339,18,Female,Caucasian,High School,7,12,Yes,Moderate,No,Yes,Yes,Yes,3.0246872753714764,B
1345,17,Female,Asian,Some College,13,22,Yes,Low,No,No,No,No,2.7251526009585243,C
1347,17,Female,Asian,Higher,6,1,Yes,Moderate,Yes,No,No,No,3.5617242564019955,A
1348,18,Male,Caucasian,Higher,20,29,No,Moderate,Yes,No,No,No,3.56188260343016,A
1350,17,Male,Caucasian,Some College,8,28,No,Moderate,No,Yes,Yes,No,2.568018034766685,C
1351,18,Female,Caucasian,High School,12,20,No,Low,No,Yes,Yes,No,3.0636203078505164,B
1352,15,Male,African American,Some College,8,9,No,Moderate,No,No,No,No,2.5543527220261426,C
1355,18,Male,Caucasian,High School,1,20,Yes,Low,Yes,No,No,No,2.293075151614433,D
1357,16,Male,Caucasian,Bachelor’s,12,25,No,Moderate,Yes,Yes,Yes,Yes,3.5741349126990745,A
1358,18,Male,Caucasian,Bachelor’s,18,11,No,Moderate,No,Yes,No,No,3.0631753511476143,B
1359,15,Male,Caucasian,Some College,11,11,No,Very High,Yes,No,Yes,No,2.717785683354935,C
1360,17,Male,Caucasian,High School,3,17,Yes,High,Yes,No,No,Yes,2.1181482922206074,D
1361,18,Female,Caucasian,High School,9,3,No,High,No,No,Yes,No,2.7914440600815533,C
1362,15,Male,Caucasian,Higher,15,28,No,Very High,Yes,No,No,Yes,3.614783676252072,A
1363,15,Female,Caucasian,Some College,18,27,Yes,High,Yes,No,No,No,3.524340296287683,A
