Age,Gender,Ethnicity,Parental_Education,Weekly_Study_Time,Absences,Tutoring,Parental_Support,Extracurricular_Activity,Sports,Music,Volunteering,GPA,Grade_Class,Is_Child,Study_Efficiency,Absence_Rate,Absence_Rate_Category,Total_Activities,Absence_Impact,Study_Impact
18,Female,Caucasian,Bachelor’s,15,26,No,Low,Yes,No,No,No,3.96,A,0,0.5769230769230769,0.8666666666666667,High,1,0.1523076923076923,59.4
15,Male,African American,Bachelor’s,12,1,No,Moderate,No,No,Yes,No,3.02,B,1,12.0,0.03333333333333333,Low,1,3.02,36.24
15,Female,Asian,Some College,10,2,No,Very High,Yes,No,No,No,3.38,B,1,5.0,0.06666666666666667,Low,1,1.69,33.8
17,Female,Asian,Bachelor’s,12,20,Yes,Low,Yes,No,Yes,No,2.89,C,1,0.6,0.6666666666666666,Medium,2,0.14450000000000002,34.68
17,Female,African American,High School,5,7,No,Moderate,Yes,No,No,No,2.34,D,1,0.7142857142857143,0.23333333333333334,Low,1,0.33428571428571424,11.7
15,Male,Asian,Higher,16,7,No,Moderate,Yes,No,Yes,No,3.77,A,1,2.2857142857142856,0.23333333333333334,Low,2,0.5385714285714286,60.32
17,Male,African American,Some College,4,13,Yes,Low,Yes,No,No,No,3.55,A,1,0.3076923076923077,0.43333333333333335,Medium,1,0.27307692307692305,14.2
18,Male,Other,Bachelor’s,0,8,Yes,Moderate,Yes,No,No,No,3.21,B,0,0.0,0.26666666666666666,Low,1,0.40125,0.032100000000000004
15,Male,Caucasian,No Education,4,21,No,High,Yes,Yes,Yes,No,3.82,A,1,0.19047619047619047,0.7,High,3,0.1819047619047619,15.28
18,Female,Asian,Some College,4,8,No,Low,Yes,No,No,No,2.41,D,0,0.5,0.26666666666666666,Low,1,0.30125,9.64
16,Female,Caucasian,High School,6,29,No,Very High,Yes,No,No,Yes,2.57,C,1,0.20689655172413793,0.9666666666666667,High,2,0.0886206896551724,15.419999999999998
15,Male,Caucasian,High School,5,13,No,Moderate,Yes,No,No,Yes,3.2,B,1,0.38461538461538464,0.43333333333333335,Medium,2,0.24615384615384617,16.0
16,Male,Asian,High School,1,13,Yes,Low,No,Yes,No,No,2.78,C,1,0.07692307692307693,0.43333333333333335,Medium,1,0.21384615384615382,2.78
15,Male,Caucasian,Some College,12,20,No,No Support,Yes,No,No,No,2.09,D,1,0.6,0.6666666666666666,Medium,1,0.1045,25.08
16,Female,Caucasian,High School,9,15,No,Very High,No,No,Yes,No,2.56,C,1,0.6,0.5,Medium,1,0.17066666666666666,23.04
18,Female,African American,No Education,20,4,No,Low,No,No,No,Yes,3.16,B,0,5.0,0.13333333333333333,Low,1,0.79,63.2
18,Female,Asian,Some College,19,19,No,High,Yes,No,No,No,3.11,B,0,1.0,0.6333333333333333,Medium,1,0.1636842105263158,59.089999999999996
17,Male,Other,Some College,10,28,No,High,No,Yes,No,No,2.15,D,1,0.35714285714285715,0.9333333333333333,High,1,0.07678571428571428,21.5
18,Female,Asian,High School,20,22,No,Moderate,No,Yes,Yes,Yes,2.75,C,0,0.9090909090909091,0.7333333333333333,High,3,0.125,55.0
17,Male,African American,Bachelor’s,1,23,Yes,Low,Yes,Yes,No,No,2.88,C,1,0.043478260869565216,0.7666666666666667,High,2,0.1252173913043478,2.88
18,Female,Caucasian,Higher,7,14,Yes,Low,No,No,No,No,2.37,D,0,0.5,0.4666666666666667,Medium,0,0.1692857142857143,16.59
15,Female,Caucasian,Bachelor’s,18,20,No,High,No,Yes,No,No,3.53,A,1,0.9,0.6666666666666666,Medium,1,0.1765,63.54
18,Male,Caucasian,Bachelor’s,19,30,No,Moderate,No,Yes,No,Yes,2.38,D,0,0.6333333333333333,1.0,High,2,0.07933333333333333,45.22
17,Female,African American,High School,16,8,No,Very High,Yes,No,No,No,3.55,A,1,2.0,0.26666666666666666,Low,1,0.44375,56.8
16,Male,Caucasian,High School,9,12,No,Very High,Yes,No,Yes,No,2.6,C,1,0.75,0.4,Medium,2,0.21666666666666667,23.400000000000002
15,Female,Asian,Bachelor’s,4,28,No,No Support,No,No,No,No,3.11,B,1,0.14285714285714285,0.9333333333333333,High,0,0.11107142857142857,12.44
18,Male,African American,Higher,13,22,Yes,High,No,No,No,No,3.91,A,0,0.5909090909090909,0.7333333333333333,High,0,0.17772727272727273,50.83
18,Female,Caucasian,Higher,3,11,No,Moderate,Yes,No,No,No,3.64,A,0,0.2727272727272727,0.36666666666666664,Medium,1,0.33090909090909093,10.92
16,Female,Asian,Some College,15,15,No,High,No,Yes,No,No,2.82,C,1,1.0,0.5,Medium,1,0.188,42.3
16,Female,Asian,Some College,14,25,No,Moderate,No,No,No,No,3.82,A,1,0.56,0.8333333333333334,High,0,0.1528,53.48
16,Male,Caucasian,No Education,8,28,No,High,Yes,No,No,No,2.86,C,1,0.2857142857142857,0.9333333333333333,High,1,0.10214285714285713,22.88
16,Female,Other,No Education,2,28,Yes,Moderate,Yes,Yes,No,Yes,2.31,D,1,0.07142857142857142,0.9333333333333333,High,3,0.0825,4.62
16,Male,Caucasian,Bachelor’s,8,5,Yes,Very High,No,No,Yes,No,3.06,B,1,1.6,0.16666666666666666,Low,1,0.612,24.48
18,Female,Caucasian,Some College,17,4,No,No Support,No,No,No,Yes,2.73,C,0,4.25,0.13333333333333333,Low,1,0.6825,46.41
16,Male,Other,Some College,3,0,No,No Support,Yes,Yes,No,No,3.49,B,1,0.0,0.0,Low,2,349.0,10.47
15,Male,Caucasian,Some College,18,30,Yes,High,Yes,No,No,Yes,3.9,A,1,0.6,1.0,High,2,0.13,70.2
17,Female,African American,High School,3,13,Yes,High,No,Yes,No,No,2.94,C,1,0.23076923076923078,0.43333333333333335,Medium,1,0.22615384615384615,8.82
16,Male,Caucasian,Some College,8,28,No,High,No,No,No,No,2.19,D,1,0.2857142857142857,0.9333333333333333,High,0,0.07821428571428571,17.52
16,Female,African American,Some College,0,8,No,High,Yes,Yes,No,No,2.4,D,1,0.0,0.26666666666666666,Low,2,0.3,0.024
18,Male,Other,Some College,0,17,Yes,Very High,No,No,No,No,2.33,D,0,0.0,0.5666666666666667,Medium,0,0.13705882352941176,0.0233
16,Male,Caucasian,Bachelor’s,19,5,No,High,No,No,Yes,No,3.21,B,1,3.8,0.16666666666666666,Low,1,0.642,60.99
16,Female,African American,Some College,18,14,No,High,Yes,No,Yes,No,3.55,A,1,1.2857142857142858,0.4666666666666667,Medium,2,0.25357142857142856,63.9
16,Male,Caucasian,Bachelor’s,2,30,No,High,Yes,No,No,No,2.78,C,1,0.06666666666666667,1.0,High,1,0.09266666666666666,5.56
18,Male,African American,Higher,9,15,Yes,Very High,Yes,No,No,No,3.44,B,0,0.6,0.5,Medium,1,0.22933333333333333,30.96
16,Female,Caucasian,Higher,11,7,No,Moderate,Yes,No,Yes,No,2.84,C,1,1.5714285714285714,0.23333333333333334,Low,2,0.4057142857142857,31.24
18,Female,Caucasian,High School,13,4,Yes,High,No,No,No,Yes,3.5,A,0,3.25,0.13333333333333333,Low,1,0.875,45.5
17,Male,Caucasian,No Education,9,13,Yes,Low,No,No,Yes,No,3.47,B,1,0.6923076923076923,0.43333333333333335,Medium,1,0.26692307692307693,31.23
18,Male,Other,High School,9,6,Yes,Moderate,No,No,No,Yes,3.06,B,0,1.5,0.2,Low,1,0.51,27.54
16,Female,Caucasian,High School,17,3,No,No Support,Yes,No,Yes,Yes,4.0,A,1,5.666666666666667,0.1,Low,3,1.3333333333333333,68.0
18,Male,Caucasian,Bachelor’s,14,27,No,Very High,No,No,No,No,3.6,A,0,0.5185185185185185,0.9,High,0,0.13333333333333333,50.4
15,Male,Caucasian,No Education,7,20,No,Low,No,No,No,Yes,3.0,C,1,0.35,0.6666666666666666,Medium,1,0.15,21.0
16,Male,Asian,High School,2,0,Yes,High,Yes,Yes,No,No,3.59,A,1,0.0,0.0,Low,2,359.0,7.18
18,Female,Other,High School,17,3,Yes,Moderate,No,Yes,No,Yes,3.49,B,0,5.666666666666667,0.1,Low,2,1.1633333333333333,59.330000000000005
15,Male,Caucasian,Bachelor’s,8,29,No,High,Yes,No,No,No,2.94,C,1,0.27586206896551724,0.9666666666666667,High,1,0.10137931034482758,23.52
15,Female,African American,Higher,20,22,No,Moderate,No,No,No,No,2.79,C,1,0.9090909090909091,0.7333333333333333,High,0,0.12681818181818183,55.8
15,Male,African American,High School,12,25,No,Moderate,No,Yes,No,No,2.73,C,1,0.48,0.8333333333333334,High,1,0.1092,32.76
16,Male,Asian,Some College,6,9,Yes,Low,No,No,No,No,3.35,B,1,0.6666666666666666,0.3,Low,0,0.37222222222222223,20.1
15,Female,African American,No Education,16,12,No,High,No,Yes,Yes,Yes,3.73,A,1,1.3333333333333333,0.4,Medium,3,0.31083333333333335,59.68
15,Male,Caucasian,No Education,8,20,No,High,No,No,No,No,2.78,C,1,0.4,0.6666666666666666,Medium,0,0.13899999999999998,22.24
15,Male,Other,Some College,11,0,Yes,No Support,Yes,Yes,Yes,No,3.26,B,1,0.0,0.0,Low,3,326.0,35.86
15,Female,Caucasian,High School,8,27,Yes,Moderate,No,No,No,No,2.8,C,1,0.2962962962962963,0.9,High,0,0.1037037037037037,22.4
15,Female,Caucasian,Bachelor’s,4,22,No,Very High,Yes,Yes,No,No,3.98,A,1,0.18181818181818182,0.7333333333333333,High,2,0.1809090909090909,15.92
15,Female,African American,Bachelor’s,6,30,Yes,Low,No,Yes,Yes,No,2.67,C,1,0.2,1.0,High,2,0.089,16.02
17,Female,Caucasian,Some College,0,15,No,Very High,No,No,Yes,Yes,2.61,C,1,0.0,0.5,Medium,2,0.174,0.026099999999999998
15,Female,Caucasian,Bachelor’s,3,4,No,High,Yes,Yes,No,No,3.65,A,1,0.75,0.13333333333333333,Low,2,0.9125,10.95
15,Male,Caucasian,Bachelor’s,15,25,No,Very High,No,No,No,Yes,2.62,C,1,0.6,0.8333333333333334,High,1,0.1048,39.300000000000004
18,Female,Caucasian,Bachelor’s,4,25,Yes,No Support,No,No,No,No,2.88,C,0,0.16,0.8333333333333334,High,0,0.1152,11.52
18,Female,Caucasian,Higher,3,6,Yes,High,Yes,Yes,Yes,Yes,2.67,C,0,0.5,0.2,Low,4,0.445,8.01
18,Male,Caucasian,High School,5,30,No,Very High,Yes,Yes,Yes,No,3.31,B,0,0.16666666666666666,1.0,High,3,0.11033333333333334,16.55
17,Female,African American,High School,7,2,No,Moderate,No,No,No,No,3.68,A,1,3.5,0.06666666666666667,Low,0,1.84,25.76
17,Female,Caucasian,High School,16,23,Yes,High,No,No,No,No,3.87,A,1,0.6956521739130435,0.7666666666666667,High,0,0.1682608695652174,61.92
17,Male,Caucasian,Some College,11,1,No,High,Yes,Yes,No,No,3.49,B,1,11.0,0.03333333333333333,Low,2,3.49,38.39
17,Male,Caucasian,High School,0,19,No,Moderate,Yes,Yes,No,No,3.12,B,1,0.0,0.6333333333333333,Medium,2,0.16421052631578947,0.031200000000000002
15,Male,Caucasian,High School,11,22,No,Very High,Yes,No,No,No,2.5,C,1,0.5,0.7333333333333333,High,1,0.11363636363636363,27.5
17,Male,Asian,Some College,10,29,No,Very High,No,Yes,No,Yes,3.69,A,1,0.3448275862068966,0.9666666666666667,High,2,0.12724137931034482,36.9
16,Male,Asian,High School,2,19,No,No Support,Yes,No,No,Yes,3.08,B,1,0.10526315789473684,0.6333333333333333,Medium,2,0.16210526315789475,6.16
17,Female,Asian,Bachelor’s,7,8,No,Moderate,No,Yes,No,No,2.87,C,1,0.875,0.26666666666666666,Low,1,0.35875,20.09
16,Female,African American,No Education,2,17,No,Very High,No,No,No,Yes,2.11,D,1,0.11764705882352941,0.5666666666666667,Medium,1,0.12411764705882353,4.22
15,Male,Caucasian,Some College,16,5,No,Low,Yes,Yes,Yes,No,3.64,A,1,3.2,0.16666666666666666,Low,3,0.728,58.24
18,Female,African American,Bachelor’s,12,19,No,Very High,No,No,No,No,2.97,C,0,0.631578947368421,0.6333333333333333,Medium,0,0.1563157894736842,35.64
17,Male,Caucasian,High School,9,5,Yes,Very High,No,No,No,Yes,3.86,A,1,1.8,0.16666666666666666,Low,1,0.772,34.74
15,Female,African American,Bachelor’s,16,25,No,No Support,Yes,No,No,Yes,2.89,C,1,0.64,0.8333333333333334,High,2,0.11560000000000001,46.24
16,Female,Caucasian,Some College,5,27,No,Moderate,No,No,No,Yes,3.37,B,1,0.18518518518518517,0.9,High,1,0.12481481481481482,16.85
15,Male,Caucasian,High School,13,24,No,Moderate,Yes,No,Yes,No,3.81,A,1,0.5416666666666666,0.8,High,2,0.15875,49.53
18,Male,African American,Bachelor’s,9,8,No,High,No,No,Yes,No,2.93,C,0,1.125,0.26666666666666666,Low,1,0.36625,26.37
17,Female,African American,Bachelor’s,19,8,No,High,Yes,No,No,Yes,3.92,A,1,2.375,0.26666666666666666,Low,2,0.49,74.48
17,Female,Asian,High School,15,2,No,Very High,No,Yes,No,Yes,3.43,B,1,7.5,0.06666666666666667,Low,2,1.715,51.45
15,Male,African American,No Education,9,13,No,Very High,No,Yes,No,No,3.62,A,1,0.6923076923076923,0.43333333333333335,Medium,1,0.2784615384615385,32.58
17,Female,Asian,Some College,5,24,No,Moderate,No,No,No,No,2.82,C,1,0.20833333333333334,0.8,High,0,0.1175,14.1
18,Male,African American,No Education,9,18,No,Moderate,Yes,No,No,No,3.59,A,0,0.5,0.6,Medium,1,0.19944444444444442,32.31
18,Female,African American,High School,4,9,Yes,High,No,No,Yes,No,2.56,C,0,0.4444444444444444,0.3,Low,1,0.28444444444444444,10.24
16,Male,African American,Bachelor’s,5,18,Yes,Very High,Yes,Yes,No,Yes,2.76,C,1,0.2777777777777778,0.6,Medium,3,0.15333333333333332,13.799999999999999
17,Male,Asian,High School,6,4,No,Moderate,No,Yes,No,Yes,3.01,B,1,1.5,0.13333333333333333,Low,2,0.7525,18.06
17,Male,Other,Bachelor’s,10,21,No,Moderate,Yes,No,No,No,3.19,B,1,0.47619047619047616,0.7,High,1,0.1519047619047619,31.9
15,Male,Other,Bachelor’s,11,14,Yes,Moderate,No,No,No,Yes,2.92,C,1,0.7857142857142857,0.4666666666666667,Medium,1,0.20857142857142857,32.12
17,Female,African American,Bachelor’s,19,23,No,High,No,No,No,No,3.03,B,1,0.8260869565217391,0.7666666666666667,High,0,0.1317391304347826,57.56999999999999
16,Male,African American,Some College,4,29,No,No Support,Yes,Yes,Yes,No,2.25,D,1,0.13793103448275862,0.9666666666666667,High,3,0.07758620689655173,9.0
15,Male,Caucasian,Some College,5,3,No,No Support,Yes,Yes,No,No,2.51,C,1,1.6666666666666667,0.1,Low,2,0.8366666666666666,12.549999999999999
16,Male,Asian,Bachelor’s,4,6,Yes,Very High,No,No,No,No,2.9,C,1,0.6666666666666666,0.2,Low,0,0.48333333333333334,11.6
17,Female,Asian,Bachelor’s,11,19,No,High,No,Yes,Yes,No,2.72,C,1,0.5789473684210527,0.6333333333333333,Medium,2,0.14315789473684212,29.92
15,Male,Caucasian,Some College,1,21,No,Moderate,Yes,Yes,No,No,3.23,B,1,0.047619047619047616,0.7,High,2,0.1538095238095238,3.23
17,Male,African American,Bachelor’s,9,2,No,Low,No,Yes,No,No,3.85,A,1,4.5,0.06666666666666667,Low,1,1.925,34.65
16,Female,African American,Bachelor’s,13,28,No,Low,Yes,Yes,No,No,2.94,C,1,0.4642857142857143,0.9333333333333333,High,2,0.105,38.22
16,Female,Caucasian,High School,17,28,No,Moderate,Yes,Yes,No,Yes,3.09,B,1,0.6071428571428571,0.9333333333333333,High,3,0.11035714285714285,52.53
18,Male,African American,Bachelor’s,18,29,Yes,High,Yes,No,Yes,No,3.93,A,0,0.6206896551724138,0.9666666666666667,High,2,0.13551724137931034,70.74000000000001
15,Female,Caucasian,Higher,5,30,No,High,No,Yes,Yes,No,2.19,D,1,0.16666666666666666,1.0,High,2,0.073,10.95
17,Female,Caucasian,High School,4,12,No,High,Yes,No,No,Yes,3.83,A,1,0.3333333333333333,0.4,Medium,2,0.31916666666666665,15.32
17,Female,Other,Some College,15,1,Yes,Moderate,Yes,No,Yes,Yes,3.64,A,1,15.0,0.03333333333333333,Low,3,3.64,54.6
18,Female,Asian,High School,13,2,No,Moderate,No,No,No,No,2.88,C,0,6.5,0.06666666666666667,Low,0,1.44,37.44
17,Male,African American,Bachelor’s,12,12,No,Low,Yes,No,No,Yes,3.49,B,1,1.0,0.4,Medium,2,0.29083333333333333,41.88
18,Female,Caucasian,High School,1,21,Yes,High,No,No,Yes,No,3.2,B,0,0.047619047619047616,0.7,High,1,0.1523809523809524,3.2
15,Female,Caucasian,Higher,1,18,No,High,Yes,No,No,No,3.84,A,1,0.05555555555555555,0.6,Medium,1,0.21333333333333332,3.84
18,Male,African American,High School,11,17,No,Moderate,Yes,No,Yes,No,2.57,C,0,0.6470588235294118,0.5666666666666667,Medium,2,0.15117647058823527,28.27
18,Male,Asian,Bachelor’s,0,4,No,High,No,No,No,Yes,2.87,C,0,0.0,0.13333333333333333,Low,1,0.7175,0.028700000000000003
16,Male,African American,Some College,18,9,Yes,Low,Yes,Yes,No,No,3.64,A,1,2.0,0.3,Low,2,0.40444444444444444,65.52
15,Male,Asian,High School,15,13,No,Very High,No,No,No,No,2.88,C,1,1.1538461538461537,0.43333333333333335,Medium,0,0.22153846153846152,43.199999999999996
17,Female,Caucasian,High School,6,20,Yes,Very High,No,No,Yes,No,2.29,D,1,0.3,0.6666666666666666,Medium,1,0.1145,13.74
17,Female,Caucasian,High School,20,16,No,Moderate,Yes,Yes,No,No,2.83,C,1,1.25,0.5333333333333333,Medium,2,0.176875,56.6
15,Male,Caucasian,Bachelor’s,6,2,No,Moderate,Yes,No,Yes,No,3.31,B,1,3.0,0.06666666666666667,Low,2,1.655,19.86
17,Male,Caucasian,High School,5,8,No,Moderate,Yes,No,No,No,3.68,A,1,0.625,0.26666666666666666,Low,1,0.46,18.400000000000002
18,Female,Caucasian,No Education,0,3,No,High,Yes,No,Yes,Yes,2.79,C,0,0.0,0.1,Low,3,0.93,0.0279
15,Female,Other,Bachelor’s,0,2,No,High,Yes,No,No,No,2.32,D,1,0.0,0.06666666666666667,Low,1,1.16,0.0232
18,Female,Caucasian,Bachelor’s,13,25,No,Moderate,Yes,No,No,Yes,2.5,C,0,0.52,0.8333333333333334,High,2,0.1,32.5
17,Male,Other,No Education,5,12,Yes,No Support,Yes,No,No,No,2.81,C,1,0.4166666666666667,0.4,Medium,1,0.23416666666666666,14.05
17,Female,African American,Some College,5,8,Yes,Low,Yes,Yes,No,Yes,3.0,B,1,0.625,0.26666666666666666,Low,3,0.375,15.0
18,Male,Asian,Higher,17,27,No,Very High,Yes,Yes,Yes,No,3.38,B,0,0.6296296296296297,0.9,High,3,0.12518518518518518,57.46
16,Male,Other,Bachelor’s,9,6,No,Moderate,No,No,No,Yes,3.01,B,1,1.5,0.2,Low,1,0.5016666666666666,27.089999999999996
16,Male,Caucasian,Higher,2,29,No,Very High,Yes,Yes,Yes,No,2.49,D,1,0.06896551724137931,0.9666666666666667,High,3,0.08586206896551725,4.98
15,Male,Caucasian,Bachelor’s,2,28,No,Very High,Yes,Yes,No,No,2.27,D,1,0.07142857142857142,0.9333333333333333,High,2,0.08107142857142857,4.54
16,Male,Caucasian,Bachelor’s,7,7,No,Very High,No,No,No,Yes,3.24,B,1,1.0,0.23333333333333334,Low,1,0.4628571428571429,22.68
15,Male,Other,Some College,0,9,Yes,Low,Yes,Yes,No,Yes,2.23,D,1,0.0,0.3,Low,3,0.24777777777777776,0.0223
15,Female,African American,High School,17,0,Yes,Moderate,No,Yes,No,No,3.15,B,1,0.0,0.0,Low,1,315.0,53.55
16,Female,African American,High School,14,26,No,Moderate,Yes,Yes,Yes,No,3.15,B,1,0.5384615384615384,0.8666666666666667,High,3,0.12115384615384615,44.1
18,Male,Caucasian,High School,20,19,No,Very High,No,Yes,No,No,3.81,A,0,1.0526315789473684,0.6333333333333333,Medium,1,0.2005263157894737,76.2
18,Male,Caucasian,Bachelor’s,19,28,No,Very High,No,Yes,No,No,2.82,C,0,0.6785714285714286,0.9333333333333333,High,1,0.10071428571428571,53.58
